word,pos,lemma
francesa,NOUN,francês
francesas,ADJ,francês
franceses,ADJ,francês
franceses,NOUN,francês
funcionais,ADJ,funcional
fundamentais,ADJ,fundamental
funerais,NOUN,funeral
gases,NOUN,gás
gaulesa,ADJ,gaulês
gerais,ADJ,geral
globais,ADJ,global
governamentais,ADJ,governamental
gracinhas,NOUN,graça
gravíssima,ADJ,grave
há,VERB,haver
habitacionais,ADJ,habitacional
habituais,ADJ,habitual
haja,VERB,haver
helicoidais,ADJ,helicoidal
heterossexuais,NOUN,heterossexual
historinha,NOUN,história
holandesa,ADJ,holandês
holandeses,NOUN,holandês
homossexuais,ADJ,homossexual
hospitais,NOUN,hospital
hotéis,NOUN,hotel
houver,VERB,haver
houvesse,VERB,haver
houve,VERB,haver
ideais,ADJ,ideal
ideais,NOUN,ideal
iguais,ADJ,igual
ilegais,ADJ,ilegal
imagináveis,ADJ,imaginável
imóveis,NOUN,imóvel
impede,VERB,impedir
impessoais,ADJ,impessoal
importantíssimo,ADJ,importante
impostos,VERB,impor
impressos,VERB,imprimir
impunha,VERB,impor
inadiáveis,ADJ,inadiável
inalienáveis,ADJ,inalienável
incluam,VERB,incluir
inclua,VERB,incluir
incluem,VERB,incluir
incluía,VERB,incluir
incluídas,VERB,incluir
incluíram,VERB,incluir
incompatíveis,ADJ,incompatível
inconfundíveis,ADJ,inconfundível
incríveis,ADJ,incrível
indiquem,VERB,indicar
individuais,ADJ,individual
industriais,ADJ,industrial
infiéis,NOUN,infiel
informais,ADJ,informal
inglesa,ADJ,inglês
inglesas,ADJ,inglês
ingleses,ADJ,inglês
ingleses,NOUN,inglês
iniciais,ADJ,inicial
inscritas,VERB,inscrever
insere,VERB,inserir
insiste,VERB,insistir
instáveis,ADJ,instável
instruídos,VERB,instruir
instruírem,VERB,instruir
interestaduais,ADJ,interestadual
intergovernamentais,ADJ,intergovernamental
intermunicipais,ADJ,intermunicipal
internacionais,ADJ,internacional
interpessoais,ADJ,interpessoal
intervém,VERB,intervir
investem,VERB,investir
investe,VERB,investir
invisíveis,ADJ,invisível
janelinha,NOUN,janela
japonesa,ADJ,japonês
japonesas,ADJ,japonês
japoneses,NOUN,japonês
jornais,NOUN,jornal
judiciais,ADJ,judicial
juízes,NOUN,juiz
juvenis,ADJ,juvenil
laterais,NOUN,lateral
leais,ADJ,leal
legais,ADJ,legal
legíveis,ADJ,legível
lençóis,NOUN,lençol
levassem,VERB,levar
lê,VERB,ler
libanesas,ADJ,libanês
litorais,NOUN,litoral
locais,ADJ,local
locais,NOUN,local
má,ADJ,mau
mantê,VERB,manter
mantidas,VERB,manter
mantinham,VERB,manter
mantinha,VERB,manter
mantiveram,VERB,manter
mantivesse,VERB,manter
marciais,ADJ,marcial
marginais,ADJ,marginal
materiais,ADJ,material
materiais,NOUN,material
matinais,ADJ,matinal
medem,VERB,medir
mede,VERB,medir
mensais,ADJ,mensal
mentais,ADJ,mental
mereço,VERB,merecer
meses,NOUN,mês
minerais,ADJ,mineral
mísseis,NOUN,míssil
morais,ADJ,moral
morri,VERB,morrer
motéis,NOUN,motel
móveis,ADJ,móvel
multinacionais,ADJ,multinacional
mundiais,ADJ,mundial
municipais,ADJ,municipal
musicais,ADJ,musical
nacionais,ADJ,nacional
nacionais,NOUN,nacional
naturais,ADJ,natural
naturais,NOUN,natural
navais,ADJ,naval
neerlandeses,NOUN,neerlandês
neozelandesa,ADJ,neozelandês
neuronais,ADJ,neuronal
níveis,NOUN,nível
nominais,ADJ,nominal
normais,ADJ,normal
norueguesa,ADJ,norueguês
norueguesas,ADJ,norueguês
notáveis,ADJ,notável
obtidas,VERB,obter
obtiveram,VERB,obter
ocorra,VERB,ocorrer
ocorridas,VERB,ocorrer
oferecidas,VERB,oferecer
oficiais,ADJ,oficial
oficiais,NOUN,oficial
operacionais,ADJ,operacional
opõe,VERB,opor
orais,ADJ,oral
originais,ADJ,original
ornamentais,ADJ,ornamental
ouve,VERB,ouvir
painéis,NOUN,painel
palatáveis,ADJ,palatável
paquistanesas,ADJ,paquistanês
paranormais,ADJ,paranormal
partem,VERB,partir
parte,VERB,partir
peça,VERB,pedir
peço,VERB,pedir
pedem,VERB,pedir
pede,VERB,pedir
peixinhos,NOUN,peixe
penais,ADJ,penal
pence,NOUN,péni
peoa,NOUN,peão
perca,VERB,perder
perceba,VERB,perceber
percentuais,ADJ,percentual
perceptíveis,ADJ,perceptível
perdi,VERB,perder
perfis,NOUN,perfil
periciais,ADJ,pericial
permaneça,VERB,permanecer
permitam,VERB,permitir
permita,VERB,permitir
permitem,VERB,permitir
permite,VERB,permitir
perseguem,VERB,perseguir
persiste,VERB,persistir
pessoais,ADJ,pessoal
piadinhas,NOUN,piada
pinheirais,NOUN,pinheiral
põe,VERB,pôr
policiais,ADJ,policial
policiais,NOUN,policial
poloneses,NOUN,polonês
pontuais,ADJ,pontual
populacionais,ADJ,populacional
portuguesa,ADJ,português
portuguesas,ADJ,português
portugueses,ADJ,português
portugueses,NOUN,português
possíveis,ADJ,possível
possuam,VERB,possuir
possuem,VERB,possuir
possuía,VERB,possuir
postos,VERB,pôr
potenciais,ADJ,potencial
praguinhas,NOUN,praga
preferem,VERB,preferir
preferenciais,ADJ,preferencial
prefere,VERB,preferir
prejudiciais,ADJ,prejudicial
prejudiquem,VERB,prejudicar
prendê,VERB,prender
presenciais,ADJ,presencial
presidenciais,ADJ,presidencial
pretendidas,VERB,pretender
pretendo,VERB,pretender
prevaleça,VERB,prevalecer
prevê,VERB,prever
previstas,VERB,prever
previstos,VERB,prever
previsto,VERB,prever
principais,ADJ,principal
prisionais,ADJ,prisional
proceda,VERB,proceder
processuais,ADJ,processual
produzam,VERB,produzir
produza,VERB,produzir
produzem,VERB,produzir
produz,VERB,produzir
profissionais,ADJ,profissional
profissionais,NOUN,profissional
promocionais,ADJ,promocional
promovidas,VERB,promover
propõe,VERB,propor
propôs,VERB,propor
provém,VERB,provir
provê,VERB,prover
provinciais,ADJ,provincial
puderam,VERB,poder
puderem,VERB,poder
pudesse,VERB,poder
pudessem,VERB,poder
quaisquer,ADJ,qualquer
quanto,NOUN,quantum
quero,VERB,querer
quer,VERB,querer
quiseram,VERB,querer
quiserem,VERB,querer
quiser,VERB,querer
quisesse,VERB,querer
quis,VERB,querer
racionais,ADJ,racional
raízes,NOUN,raiz
ramais,NOUN,ramal
reage,VERB,reagir
reais,ADJ,real
reais,NOUN,real
receba,VERB,receber
recebê,VERB,receber
recebidas,VERB,receber
recebi,VERB,receber
recicláveis,ADJ,reciclável
recomendassem,VERB,recomendar
reconheçamos,VERB,reconhecer
reconheça,VERB,reconhecer
reconhecidas,VERB,reconhecer
reduzem,VERB,reduzir
reduz,VERB,reduzir
referem,VERB,referir
refere,VERB,referir
refez,VERB,refazer
reflete,VERB,refletir
reforce,VERB,reforçar
regionais,ADJ,regional
remetidas,VERB,remeter
removidas,VERB,remover
renováveis,ADJ,renovável
repete,VERB,repetir
reproduz,VERB,reproduzir
requer,VERB,requerer
residam,VERB,residir
residem,VERB,residir
residenciais,ADJ,residencial
reside,VERB,residir
residuais,ADJ,residual
resolvidas,VERB,resolver
resolvi,VERB,resolver
responda,VERB,responder
responsáveis,ADJ,responsável
responsáveis,NOUN,responsável
ressarça,VERB,ressarcir
ressurge,VERB,ressurgir
restitua,VERB,restituir
restringem,VERB,restringir
resume,VERB,resumir
reúnem,VERB,reunir
reutilizáveis,ADJ,reutilizável
reverta,VERB,reverter
rivais,NOUN,rival
rurais,ADJ,rural
saem,VERB,sair
saídas,VERB,sair
saímos,VERB,sair
saíram,VERB,sair
saírem,VERB,sair
saísse,VERB,sair
saí,VERB,sair
salariais,ADJ,salarial
salsinha,NOUN,salsa
satisfaça,VERB,satisfazer
satisfizeram,VERB,satisfazer
saudáveis,ADJ,saudável
sazonais,ADJ,sazonal
sei,VERB,saber
semanais,ADJ,semanal
semifinais,NOUN,semifinal
sensíveis,ADJ,sensível
sensoriais,ADJ,sensorial
servem,VERB,servir
serve,VERB,servir
servissem,VERB,servir
setoriais,ADJ,setorial
sexuais,ADJ,sexual
sindicais,ADJ,sindical
sinto,VERB,sentir
sirvam,VERB,servir
sobem,VERB,subir
sociais,ADJ,social
socorridas,VERB,socorrer
sofra,VERB,sofrer
sofridas,VERB,sofrer
solúveis,ADJ,solúvel
somos,VERB,ser
somos,VERB,ser
souberam,VERB,saber
soubesse,VERB,saber
soube,VERB,saber
sozinha,ADJ,só
sozinhos,ADJ,só
suba,VERB,subir
subjaz,VERB,subjazer
submetidas,VERB,submeter
substanciais,ADJ,substancial
substitua,VERB,substituir
substituídas,VERB,substituir
substituídos,VERB,substituir
substituíram,VERB,substituir
substituíssem,VERB,substituir
subtraíram,VERB,subtrair
subtropicais,ADJ,subtropical
sugere,VERB,sugerir
surge,VERB,surgir
surgissem,VERB,surgir
suspenda,VERB,suspender
suspensa,VERB,suspender
suspenso,VERB,suspender
sustentáveis,ADJ,sustentável
tanquinhos,NOUN,tanque
tê,VERB,ter
telejornais,NOUN,telejornal
temporais,NOUN,temporal
tenham,VERB,ter
tenhamos,VERB,ter
tenhamos,VERB,ter
tenham,VERB,ter
tinha,VERB,ter
tinham,VERB,ter
tínhamos,VERB,ter
tínhamos,VERB,ter
tinham,VERB,ter
tinha,VERB,ter
tivemos,VERB,ter
tivemos,VERB,ter
tiveram,VERB,ter
tiverem,VERB,ter
tivermos,VERB,ter
tiver,VERB,ter
tivesse,VERB,ter
tivesse,VERB,ter
tosse,VERB,tossir
totais,ADJ,total
tradicionais,ADJ,tradicional
traduzem,VERB,traduzir
transexuais,NOUN,transexual
transmite,VERB,transmitir
transpô,VERB,transpor
traremos,VERB,trazer
traz,VERB,trazer
tribunais,NOUN,tribunal
trimestrais,ADJ,trimestral
tropicais,ADJ,tropical
trouxessem,VERB,trazer
trouxesse,VERB,trazer
trouxe,VERB,trazer
trouxinhas,NOUN,trouxa
túneis,NOUN,túnel
usufruírem,VERB,usufruir
úteis,ADJ,útil
vá,VERB,ir
vamos,VERB,ir
vamos,VERB,ir
variáveis,NOUN,variável
vegetais,ADJ,vegetal
vem,VERB,vir
vêm,VERB,vir
vem,VERB,vir
vêm,VERB,vir
vença,VERB,vencer
vendidas,VERB,vender
vendi,VERB,vender
venha,VERB,vir
venham,VERB,vir
venho,VERB,vir
venho,VERB,vir
verbais,ADJ,verbal
verticais,ADJ,vertical
vê,VERB,ver
vieram,VERB,vir
vieram,VERB,vir
vinham,VERB,vir
virtuais,ADJ,virtual
visíveis,ADJ,visível
vissem,VERB,ver
vistos,VERB,ver
visuais,ADJ,visual
vitrais,NOUN,vitral
vividas,VERB,viver
vocais,NOUN,vocal
vogais,NOUN,vogal
vovó,NOUN,vovô
vulneráveis,ADJ,vulnerável
